time_s,segment,body,x_m,y_m,z_m
0.640000,0,RR_2,-0.34791389,-0.33299640,0.07102036
0.660000,0,FL_2,-0.12042975,0.17974499,0.08119661
0.660000,0,FR_2,-0.06308170,-0.25334391,0.08484381
0.660000,0,RL_2,-0.32324037,0.11003439,0.09247380
0.660000,0,RR_2,-0.34431285,-0.32996604,0.07148105
0.680000,0,FL_2,-0.11970977,0.17700717,0.08099358
0.680000,0,FR_2,-0.06645232,-0.25567099,0.08408168
0.680000,0,RL_2,-0.32242951,0.11204250,0.09163841
0.680000,0,RR_2,-0.34153634,-0.32593966,0.07182597
0.700000,0,FL_2,-0.11877315,0.17411394,0.08078805
0.700000,0,FR_2,-0.06971364,-0.25744861,0.08362811
0.700000,0,RL_2,-0.32160744,0.11442821,0.09067182
0.700000,0,RR_2,-0.33881578,-0.32228291,0.07227035
0.720000,0,FL_2,-0.11703430,0.17174073,0.08040100
0.720000,0,FR_2,-0.07224226,-0.25999969,0.08282080
0.720000,0,RL_2,-0.32173076,0.11687715,0.08957239
0.720000,0,RR_2,-0.33718678,-0.31822526,0.07259423
0.740000,0,FL_2,-0.11494334,0.16873895,0.08001634
0.740000,0,FR_2,-0.07479914,-0.26202464,0.08230148
0.740000,0,RL_2,-0.32169536,0.12000895,0.08826264
0.740000,0,RR_2,-0.33552817,-0.31467295,0.07300630
0.760000,0,FL_2,-0.11293644,0.16541514,0.07976460
0.760000,0,FR_2,-0.07779822,-0.26420003,0.08183754
0.760000,0,RL_2,-0.32141215,0.12328477,0.08701231
0.760000,0,RR_2,-0.33362222,-0.31100282,0.07355158
0.780000,0,FL_2,-0.11085968,0.16240761,0.07955515
0.780000,0,FR_2,-0.08084516,-0.26654276,0.08138658
0.780000,0,RL_2,-0.32136279,0.12638897,0.08586215
0.780000,0,RR_2,-0.33184135,-0.30719990,0.07416547
0.800000,0,FL_2,-0.10867822,0.15966092,0.07936847
0.800000,0,FR_2,-0.08371019,-0.26894745,0.08096102
0.800000,0,RL_2,-0.32155040,0.12943128,0.08475830
0.800000,0,RR_2,-0.33032781,-0.30344120,0.07480966
0.820000,0,FL_2,-0.10633445,0.15694201,0.07921374
0.820000,0,FR_2,-0.08638322,-0.27145204,0.08054633
0.820000,0,RL_2,-0.32191581,0.13261592,0.08363958
0.820000,0,RR_2,-0.32910740,-0.29971224,0.07547731
0.840000,0,FL_2,-0.10383528,0.15421849,0.07910058
0.840000,0,FR_2,-0.08891775,-0.27399996,0.08016887
0.840000,0,RL_2,-0.32244861,0.13594781,0.08251258
0.840000,0,RR_2,-0.32809958,-0.29605824,0.07617603
0.860000,0,FL_2,-0.10125548,0.15153918,0.07903954
0.860000,0,FR_2,-0.09135111,-0.27652970,0.07985118
0.860000,0,RL_2,-0.32311720,0.13934511,0.08141413
0.860000,0,RR_2,-0.32722738,-0.29253134,0.07690786
0.880000,0,FL_2,-0.09866540,0.14890194,0.07904465
0.880000,0,FR_2,-0.09372573,-0.27905080,0.07959472
0.880000,0,RL_2,-0.32386357,0.14277434,0.08036604
0.880000,0,RR_2,-0.32645059,-0.28910592,0.07767780
0.900000,0,FL_2,-0.09610704,0.14629515,0.07912444
0.900000,0,FR_2,-0.09608740,-0.28158399,0.07940061
0.900000,0,RL_2,-0.32464805,0.14622477,0.07937980
0.900000,0,RR_2,-0.32573408,-0.28573757,0.07849637
0.920000,0,FL_2,-0.09360272,0.14372082,0.07927966
0.920000,0,FR_2,-0.09846647,-0.28413501,0.07927395
0.920000,0,RL_2,-0.32545331,0.14968422,0.07846192
0.920000,0,RR_2,-0.32505006,-0.28240210,0.07937176
0.940000,0,FL_2,-0.09115768,0.14117990,0.07950809
0.940000,0,FR_2,-0.10087763,-0.28670532,0.07921885
0.940000,0,RL_2,-0.32627362,0.15314783,0.07761444
0.940000,0,RR_2,-0.32438341,-0.27908787,0.08030804
0.960000,0,FL_2,-0.08876592,0.13867156,0.07980578
0.960000,0,FR_2,-0.10332400,-0.28929445,0.07923791
0.960000,0,RL_2,-0.32711086,0.15661752,0.07683648
0.960000,0,RR_2,-0.32373148,-0.27579227,0.08130603
0.980000,0,FL_2,-0.08641626,0.13619223,0.08016919
0.980000,0,FR_2,-0.10580179,-0.29190144,0.07933223
0.980000,0,RL_2,-0.32797050,0.16009913,0.07612629
0.980000,0,RR_2,-0.32309788,-0.27251795,0.08236349
1.000000,0,FL_2,-0.08409730,0.13373835,0.08059547
1.000000,0,FR_2,-0.10830450,-0.29452550,0.07950276
1.000000,0,RL_2,-0.32885915,0.16359986,0.07548185
1.000000,0,RR_2,-0.32248870,-0.26926956,0.08347738
1.020000,0,FL_2,-0.08179720,0.13130188,0.08108409
1.020000,0,FR_2,-0.11082885,-0.29717097,0.07974985
1.020000,0,RL_2,-0.32978287,0.16713119,0.07490199
1.020000,0,RR_2,-0.32191136,-0.26604638,0.08464557
1.040000,0,FL_2,-0.07950600,0.12887660,0.08163494
1.040000,0,FR_2,-0.11337490,-0.29984254,0.08007516
1.040000,0,RL_2,-0.33074760,0.17070426,0.07438633
1.040000,0,RR_2,-0.32136813,-0.26284546,0.08586830
1.060000,0,FL_2,-0.07651974,0.12695311,0.08196669
1.060000,0,FR_2,-0.11523347,-0.30317476,0.08024400
1.060000,0,RL_2,-0.33266374,0.17410883,0.07376651
1.060000,0,RR_2,-0.32179552,-0.25955090,0.08702690
1.080000,0,FL_2,-0.07372698,0.12450669,0.08259134
1.080000,0,FR_2,-0.11714554,-0.30567753,0.08057036
1.080000,0,RL_2,-0.33428106,0.17799714,0.07325980
1.080000,0,RR_2,-0.32162952,-0.25694537,0.08808649
1.100000,0,FL_2,-0.07072780,0.12250087,0.08307874
1.100000,0,FR_2,-0.11874308,-0.30874431,0.08084570
1.100000,0,RL_2,-0.33636859,0.18162602,0.07275604
1.100000,0,RR_2,-0.32211757,-0.25402823,0.08921900
1.120000,0,FL_2,-0.06709635,0.12057953,0.08352289
1.120000,0,FR_2,-0.11968586,-0.31217784,0.08100583
1.120000,0,RL_2,-0.33924690,0.18539169,0.07218330
1.120000,0,RR_2,-0.32323194,-0.25128695,0.09024107
1.140000,0,FL_2,-0.06384775,0.11845771,0.08416460
1.140000,0,FR_2,-0.12067585,-0.31476182,0.08126312
1.140000,0,RL_2,-0.34186101,0.18931104,0.07175975
1.140000,0,RR_2,-0.32373285,-0.24916612,0.09113430
1.160000,0,FL_2,-0.06040641,0.11669590,0.08468381
1.160000,0,FR_2,-0.12128279,-0.31796408,0.08146992
1.160000,0,RL_2,-0.34491944,0.19295649,0.07134037
1.160000,0,RR_2,-0.32494476,-0.24670246,0.09212680
1.180000,0,FL_2,-0.05700056,0.11465522,0.08540428
1.180000,0,FR_2,-0.12184918,-0.32097381,0.08172816
